anio;mes;region_nombre;region_cod;generacion_mwh;cltes_libres_mwh;cltes_regulados_mwh,,,
2020;8;Región de la Araucanía;9;139606,114;27889,69099;92458,36
2020;8;Región de Los Lagos;10;199517,6894;65355,82707;101474,106
2020;8;Región Aisén del Gral.Carlos Ibáñez del Campo;11;15077,60718;0;11142,32,
2020;8;Región Metropolitana de Santiago;13;166295,88;684118,6971;988222,667
2020;8;Región de Magallanes y de la Antártica Chilena;12;30110,1866;0;25800,521,
2020;8;Región de Los Ríos;14;92868,71004;25773,13172;44372,906
2020;8;Región de Arica y Parinacota;15;5010,715101;11455,0205;23777,141
2020;8;Región de Ñuble;16;48072,24203;0;54744,603,
2020;9;Región del Biobío;8;1172143,098;242845,3324;164261,477
2020;9;Región de Antofagasta;2;1621748,431;1362331,643;74124,2
2020;9;Región de Tarapacá;1;65362,21923;152221,5626;36443,959
2020;9;Región de Valparaíso;5;1079924,216;223875,972;234832,913
2020;9;Región de Atacama;3;699871,4928;224158,2077;40508,146
2020;9;Región de Coquimbo;4;194887,5655;174588,7623;94770,4
2020;9;Región del Libertador Gral. Bernardo O’Higgins;6;200304,2814;245993,1075;144141,244
2020;9;Región del Maule;7;544416,7187;82467,98424;157608,179
2020;9;Región de la Araucanía;9;123851,2213;25839,39369;92458,36
2020;9;Región de Los Lagos;10;177067,94;64309,48782;101474,106
2020;9;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13893,8518;0;11142,32,
2020;9;Región Metropolitana de Santiago;13;159338,9829;678872,2737;988222,667
2020;9;Región de Magallanes y de la Antártica Chilena;12;27336,2476;0;25800,521,
2020;9;Región de Los Ríos;14;79319,20454;25531,52441;44372,906
2020;9;Región de Arica y Parinacota;15;5757,912948;10860,86825;23777,141
2020;9;Región de Ñuble;16;45266,23413;0;54744,603,
2020;10;Región de Coquimbo;4;266274,8544;183865,2036;94770,4
2020;10;Región de Antofagasta;2;1413426,106;1454442,784;74124,2
2020;10;Región de Tarapacá;1;73368,5198;137611,9902;36443,959
2020;10;Región del Biobío;8;1324421,182;244270,8099;164261,477
2020;10;Región de Atacama;3;833273,155;243263,8829;40508,146
2020;10;Región de Valparaíso;5;683733,8151;220125,3273;234832,913
2020;10;Región del Libertador Gral. Bernardo O’Higgins;6;292677,6367;256258,5195;144141,244
2020;10;Región del Maule;7;878140,6125;87925,63381;157608,179
2020;10;Región de la Araucanía;9;134461,1915;28938,4589;92458,36
2020;10;Región de Los Lagos;10;186332,5542;73624,54324;101474,106
2020;10;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13665,5688;0;11142,32,
2020;10;Región Metropolitana de Santiago;13;229685,532;737418,7004;988222,667
2020;10;Región de Magallanes y de la Antártica Chilena;12;24782,52097;0;25800,521,
2020;10;Región de Los Ríos;14;76419,33286;26609,21563;44372,906
2020;10;Región de Arica y Parinacota;15;6592,578061;12227,80227;23777,141
2020;10;Región de Ñuble;16;41334,21758;0;54744,603,
2020;11;Región de Valparaíso;5;572885,4124;230724,6312;234832,913
2020;11;Región de Antofagasta;2;1589000,342;1386373,572;74124,2
2020;11;Región de Tarapacá;1;73046,10042;154863,1344;36443,959
2020;11;Región del Biobío;8;1114809,257;261724,1211;164261,477
2020;11;Región de Atacama;3;735396,8823;201806,0109;40508,146
2020;11;Región de Coquimbo;4;189591,1888;185049,1488;94770,4
2020;11;Región del Maule;7;921476,0911;97549,93264;157608,179
2020;11;Región del Libertador Gral. Bernardo O’Higgins;6;458132,919;257184,3038;144141,244
2020;11;Región de la Araucanía;9;143413,2532;28075,49236;92458,36
2020;11;Región de Los Lagos;10;176586,33;76528,02229;101474,106
2020;11;Región Aisén del Gral.Carlos Ibáñez del Campo;11;12753,465;0;11142,32,
2020;11;Región Metropolitana de Santiago;13;261886,4762;737061,5129;988222,667
2020;11;Región de Magallanes y de la Antártica Chilena;12;24124,4122;0;25800,521,
2020;11;Región de Los Ríos;14;80810,05582;26896,35215;44372,906
2020;11;Región de Arica y Parinacota;15;6708,461966;12258,44052;23777,141
2020;11;Región de Ñuble;16;37314,00885;0;54744,603,
2020;12;Región del Biobío;8;1208998,499;283619,0847;164261,477
2020;12;Región de Antofagasta;2;1912622,675;1516127,153;74124,2
2020;12;Región de Tarapacá;1;70582,15128;149653,5084;36443,959
2020;12;Región de Valparaíso;5;734235,502;229963,1938;234832,913
2020;12;Región de Atacama;3;748616,5381;260800,1028;40508,146
2020;12;Región de Coquimbo;4;209841,3696;189031,0737;94770,4
2020;12;Región del Libertador Gral. Bernardo O’Higgins;6;463059,753;276094,4754;144141,244
2020;12;Región del Maule;7;712090,7907;113034,0071;157608,179
2020;12;Región de la Araucanía;9;187571,5659;30024,30637;92458,36
2020;12;Región de Los Lagos;10;176063,6162;79811,44611;101474,106
2020;12;Región Aisén del Gral.Carlos Ibáñez del Campo;11;13268,54636;0;11142,32,
2020;12;Región Metropolitana de Santiago;13;325949,0732;775344,4647;988222,667
2020;12;Región de Magallanes y de la Antártica Chilena;12;25320,8524;0;25800,521,
2020;12;Región de Los Ríos;14;74563,7924;28294,62434;44372,906
2020;12;Región de Arica y Parinacota;15;7540,509675;11979,73618;23777,141
2020;12;Región de Ñuble;16;38644,6076;0;54744,603,
