fecha;valor,
31/03/2018;9520,440377
01/04/2018;9485,979552
02/04/2018;10074,87726
03/04/2018;10028,22344
04/04/2018;9555,795477
05/04/2018;9440,99205
06/04/2018;9486,508047
07/04/2018;8989,560542
08/04/2018;9123,891441
09/04/2018;9569,842011
10/04/2018;9495,806402
11/04/2018;9513,8099
12/04/2018;9409,450857
13/04/2018;9549,606975
14/04/2018;9056,973528
15/04/2018;9009,483577
16/04/2018;9488,795193
17/04/2018;9595,465172
18/04/2018;9389,389736
19/04/2018;9584,332849
20/04/2018;9595,342046
21/04/2018;9056,135621
22/04/2018;9009,189357
23/04/2018;9374,661255
24/04/2018;9588,120638
25/04/2018;9478,741098
26/04/2018;9552,979327
27/04/2018;9424,41006
28/04/2018;9107,733334
29/04/2018;9063,471786
30/04/2018;9283,974394
01/05/2018;9035,979423
02/05/2018;9313,1237
03/05/2018;9507,21804
04/05/2018;9477,475732
05/05/2018;8925,971602
06/05/2018;8967,320771
07/05/2018;9586,474949
08/05/2018;9452,833909
09/05/2018;9505,767752
10/05/2018;9475,406907
11/05/2018;9513,443632
12/05/2018;9065,857127
13/05/2018;9210,436822
14/05/2018;9464,518015
15/05/2018;9408,32574
16/05/2018;9617,437786
17/05/2018;9683,699022
18/05/2018;9708,478369
19/05/2018;9216,425319
20/05/2018;8915,475211
21/05/2018;8794,297482
22/05/2018;9771,861008
23/05/2018;9677,83174
24/05/2018;9939,950897
25/05/2018;9926,302155
26/05/2018;9355,842405
27/05/2018;9223,66156
28/05/2018;9758,268483
29/05/2018;9947,387567
30/05/2018;9891,61549
31/05/2018;10048,26295
01/06/2018;10008,89204
02/06/2018;9706,750099
03/06/2018;9568,20994
04/06/2018;9980,49485
05/06/2018;10163,36594
06/06/2018;10343,19781
07/06/2018;10412,44941
08/06/2018;10190,16735
09/06/2018;9905,136692
10/06/2018;9940,562849
11/06/2018;10605,35905
12/06/2018;10507,87425
13/06/2018;10003,75478
14/06/2018;10217,80088
15/06/2018;10032,5469
16/06/2018;9672,147497
17/06/2018;9833,256685
18/06/2018;10335,77839
19/06/2018;10324,85534
20/06/2018;10143,57272
21/06/2018;9982,385836
22/06/2018;10054,47345
23/06/2018;9412,83164
24/06/2018;9562,255623
25/06/2018;9900,613887
26/06/2018;10074,57678
27/06/2018;10297,99277
28/06/2018;10385,51037
29/06/2018;9979,865361
30/06/2018;9348,474019
01/07/2018;9247,847938
02/07/2018;9152,212532
03/07/2018;10468,53888
04/07/2018;10394,33026
05/07/2018;10315,55665
06/07/2018;10349,21353
07/07/2018;9731,855586
08/07/2018;9803,565832
09/07/2018;10125,43853
10/07/2018;10130,37826
11/07/2018;10083,55824
12/07/2018;10058,92255
13/07/2018;9849,775846
14/07/2018;9549,132758
15/07/2018;9158,252051
16/07/2018;9135,266601
17/07/2018;9993,953657
18/07/2018;10229,73763
19/07/2018;10088,98083
20/07/2018;10065,80249
21/07/2018;9719,873685
22/07/2018;9778,21032
23/07/2018;10098,99075
24/07/2018;9932,455236
25/07/2018;10047,775
26/07/2018;10321,14977
27/07/2018;10078,8457
28/07/2018;9749,405032
29/07/2018;9572,558762
30/07/2018;10120,15002
31/07/2018;10256,21028
01/08/2018;10157,1274
02/08/2018;10254,73157
03/08/2018;10291,86458
04/08/2018;10020,31
05/08/2018;9983,430633
06/08/2018;10334,5015
07/08/2018;10286,9456
08/08/2018;10109,64307
09/08/2018;10124,79963
10/08/2018;9710,55862
11/08/2018;9500,183867
12/08/2018;9510,269476
13/08/2018;10286,21522
14/08/2018;9799,757912
15/08/2018;8898,190535
16/08/2018;9291,690798
17/08/2018;10375,73124
18/08/2018;9517,358068
19/08/2018;9341,538412
20/08/2018;9731,620856
21/08/2018;10021,53168
22/08/2018;10230,3162
23/08/2018;10185,875
24/08/2018;10294,77129
25/08/2018;9327,655078
26/08/2018;9439,722857
27/08/2018;9824,671845
28/08/2018;9832,47717
29/08/2018;10003,95628
30/08/2018;10188,22435
31/08/2018;10084,96641
01/09/2018;9351,678424
02/09/2018;9286,865924
03/09/2018;10004,81364
04/09/2018;9694,988721
05/09/2018;9733,854176
06/09/2018;9477,606517
07/09/2018;9329,793983
08/09/2018;9005,756618
09/09/2018;8875,371319
10/09/2018;9555,477988
11/09/2018;9586,274243
12/09/2018;9430,698355
13/09/2018;9437,98594
14/09/2018;9390,807436
15/09/2018;8814,74296
16/09/2018;8696,719335
17/09/2018;8313,6533
18/09/2018;8048,26423
19/09/2018;8103,685977
20/09/2018;8973,433187
21/09/2018;9639,901815
22/09/2018;9332,457627
23/09/2018;9096,35231
24/09/2018;9716,413005
25/09/2018;9449,904351
26/09/2018;9459,552567
27/09/2018;9549,840191
28/09/2018;9629,6252
29/09/2018;9143,209573
30/09/2018;9157,317293
01/10/2018;9815,556349
02/10/2018;9965,336656
03/10/2018;9849,869257
04/10/2018;9667,54872
05/10/2018;9611,576792
06/10/2018;9162,48635
07/10/2018;9211,906997
08/10/2018;10062,13515
09/10/2018;9900,860926
10/10/2018;9940,68179
11/10/2018;10117,21482
12/10/2018;10005,39858
13/10/2018;9065,731068
14/10/2018;9032,744092
15/10/2018;9178,381501
16/10/2018;9869,905641
17/10/2018;9701,963404
18/10/2018;9839,428817
19/10/2018;9737,584566
20/10/2018;8871,6355
21/10/2018;8911,48455
22/10/2018;9582,467699
23/10/2018;9578,641683
24/10/2018;9600,152342
25/10/2018;9727,139434
26/10/2018;9753,296211
27/10/2018;9010,710174
28/10/2018;9046,949807
29/10/2018;9779,850655
30/10/2018;9814,724057
31/10/2018;9855,661768
01/11/2018;9159,939012
02/11/2018;9174,900186
03/11/2018;8950,675502
04/11/2018;9186,951526
05/11/2018;9947,4414
06/11/2018;9433,150405
07/11/2018;9547,48814
08/11/2018;9651,1692
09/11/2018;9714,93196
10/11/2018;9132,34584
11/11/2018;9311,833562
12/11/2018;9741,364313
13/11/2018;9656,595494
14/11/2018;9612,10451
15/11/2018;9727,334214
16/11/2018;9741,556145
17/11/2018;8972,48992
18/11/2018;9261,802266
19/11/2018;9774,848358
20/11/2018;10050,4986
21/11/2018;10241,7498
22/11/2018;10192,91281
