fecha;sistema;dmin_mw;dmax_mw,,
23/05/2006;SING;1521,33;1624,43
24/05/2006;SIC;3825,83;5518,44
24/05/2006;SING;1526,41;1610,94
25/05/2006;SIC;3826,84;5360,51
25/05/2006;SING;1484,49;1599,3
26/05/2006;SIC;3840,69;5438,73
26/05/2006;SING;1488,18;1590,89
27/05/2006;SIC;3837,83;5132,64
27/05/2006;SING;1507,45;1595,14
28/05/2006;SIC;3375,10;5017,54
28/05/2006;SING;1481,24;1633,50
29/05/2006;SIC;3602,44;5342,12
29/05/2006;SING;1538,28;1619,88
30/05/2006;SIC;1805,30;2799,73
30/05/2006;SING;1465,40;1629,93
31/05/2006;SING;1502,85;1638,38
01/06/2006;SIC;3827,30;5301,52
01/06/2006;SING;1371,92;1634,10
02/06/2006;SIC;3817,90;5411,41
02/06/2006;SING;1448,60;1568,34
03/06/2006;SIC;3840,00;5105,90
03/06/2006;SING;1408,79;1612,18
04/06/2006;SIC;3417,23;4903,61
04/06/2006;SING;1513,80;1652,65
05/06/2006;SIC;3562,20;5674,60
05/06/2006;SING;1504,26;1635,87
06/06/2006;SIC;3804,65;5531,14
06/06/2006;SING;1480,31;1610,74
07/06/2006;SIC;3812,05;5580,17
07/06/2006;SING;1379,10;1600,62
08/06/2006;SIC;3738,87;5445,80
08/06/2006;SING;1420,02;1606,0
09/06/2006;SIC;3791,63;5454,36
09/06/2006;SING;1518,83;1620,53
10/06/2006;SIC;3877,32;5318,31
10/06/2006;SING;1459,63;1640,72
11/06/2006;SIC;3384,04;4943,83
11/06/2006;SING;1465,89;1622,16
12/06/2006;SIC;3407,80;5249,22
12/06/2006;SING;1415,33;1631,22
13/06/2006;SIC;3575,50;5496,31
13/06/2006;SING;1430,03;1602,91
14/06/2006;SIC;3807,17;5297,38
14/06/2006;SING;1418,39;1573,86
15/06/2006;SIC;3861,22;5344,13
15/06/2006;SING;1491,72;1611,93
16/06/2006;SIC;3894,46;5365,59
16/06/2006;SING;1494,09;1605,17
17/06/2006;SIC;3824,45;5199,15
17/06/2006;SING;1526,75;1626,98
18/06/2006;SIC;3339,37;4876,72
18/06/2006;SING;1521,22;1644,26
19/06/2006;SIC;3489,01;5306,79
19/06/2006;SING;1456,53;1608,31
20/06/2006;SIC;3768,79;5465,17
20/06/2006;SING;1381,94;1520,5
21/06/2006;SIC;3787,64;5380,55
21/06/2006;SING;1381,91;1540,10
22/06/2006;SIC;3713,70;5231,59
22/06/2006;SING;1371,48;1525,26
23/06/2006;SIC;3779,42;5466,82
23/06/2006;SING;1436,19;1548,22
24/06/2006;SIC;3839,87;5309,7
24/06/2006;SING;1431,10;1554,97
25/06/2006;SIC;3429,16;4911,88
25/06/2006;SING;1452,05;1587,53
26/06/2006;SIC;3390,27;5182,84
26/06/2006;SING;1463,64;1620,17
27/06/2006;SIC;3586,02;5416,64
27/06/2006;SING;1484,99;1629,85
28/06/2006;SIC;3851,84;5367,73
28/06/2006;SING;1491,98;1581,7
29/06/2006;SIC;3864,08;5618,56
29/06/2006;SING;1466,52;1575,75
30/06/2006;SIC;3911,96;5515,55
30/06/2006;SING;1374,14;1614,46
01/07/2006;SIC;3882,76;5202,54
01/07/2006;SING;1104,87;1230,72
02/07/2006;SIC;3422,77;5027,67
02/07/2006;SING;1087,66;1221,1
03/07/2006;SIC;3585,97;5294,64
03/07/2006;SING;911,73;1003,1
04/07/2006;SIC;3856,75;5218,27
04/07/2006;SING;922,87;1208,23
05/07/2006;SIC;3777,48;5289,65
05/07/2006;SING;1111,38;1225,55
06/07/2006;SIC;3763,88;5340,2
06/07/2006;SING;1101,55;1218,90
07/07/2006;SIC;3890,30;5391,0
07/07/2006;SING;1181,05;1264,30
08/07/2006;SIC;3786,65;5240,90
08/07/2006;SING;1123,96;1259,40
09/07/2006;SIC;3433,61;5117,57
09/07/2006;SING;1111,92;1292,44
10/07/2006;SIC;3527,26;5561,60
10/07/2006;SING;1118,86;1235,59
11/07/2006;SIC;3825,75;5633,45
11/07/2006;SING;1094,56;1215,21
12/07/2006;SIC;3731,75;5533,61
12/07/2006;SING;1048,14;1170,80
13/07/2006;SIC;3776,50;5487,17
13/07/2006;SING;1093,22;1301,87
14/07/2006;SIC;3738,11;5526,36
14/07/2006;SING;1225,80;1376,60
15/07/2006;SIC;3837,86;5178,81
15/07/2006;SING;1203,21;1348,7
16/07/2006;SIC;3293,42;4934,94
16/07/2006;SING;1251,77;1434,9
17/07/2006;SIC;3481,92;5340,10
17/07/2006;SING;1334,76;1412,72
18/07/2006;SIC;3778,87;5277,83
18/07/2006;SING;1274,11;1408,48
19/07/2006;SIC;3783,84;5185,15
19/07/2006;SING;1250,61;1407,39
20/07/2006;SIC;3768,21;5160,16
20/07/2006;SING;1231,24;1370,40
21/07/2006;SIC;3798,16;5393,34
21/07/2006;SING;1182,38;1282,21
22/07/2006;SIC;3845,18;5160,73
22/07/2006;SING;1178,48;1289,66
23/07/2006;SIC;3351,34;4951,3
23/07/2006;SING;1169,91;1317,36
24/07/2006;SIC;3556,77;5525,29
24/07/2006;SING;1155,98;1260,92
25/07/2006;SIC;3890,64;5619,3
25/07/2006;SING;914,07;1225,75
26/07/2006;SIC;3786,30;5632,63
26/07/2006;SING;975,47;1133,68
27/07/2006;SIC;3720,06;5310,28
27/07/2006;SING;1198,85;1348,38
28/07/2006;SIC;3842,41;5425,56
28/07/2006;SING;1171,23;1292,73
29/07/2006;SIC;3813,20;5176,64
29/07/2006;SING;1162,24;1283,81
30/07/2006;SIC;3353,07;5050,4
30/07/2006;SING;1166,47;1280,35
31/07/2006;SING;1145,81;1265,58
01/08/2006;SIC;3801,88;5373,11
01/08/2006;SING;1451,84;1589,18
02/08/2006;SIC;3823,43;5462,24
02/08/2006;SING;1434,47;1584,93
03/08/2006;SIC;3793,68;5413,4
03/08/2006;SING;1408,88;1551,95
04/08/2006;SIC;3843,19;5339,68
04/08/2006;SING;1459,72;1546,66
05/08/2006;SIC;3914,85;5154,94
05/08/2006;SING;1430,17;1566,93
06/08/2006;SIC;3424,38;5139,48
06/08/2006;SING;1433,32;1522,94
07/08/2006;SIC;3607,58;5403,60
07/08/2006;SING;1354,37;1459,1
08/08/2006;SIC;3834,74;5674,79
08/08/2006;SING;1244,06;1384,78
09/08/2006;SIC;3797,84;5525,65
09/08/2006;SING;1241,05;1434,96
10/08/2006;SIC;3831,41;5600,69
10/08/2006;SING;1321,28;1433,60
11/08/2006;SIC;3786,77;5498,78
11/08/2006;SING;1339,76;1471,66
12/08/2006;SIC;3815,91;5216,24
12/08/2006;SING;1378,46;1477,58
13/08/2006;SIC;3445,91;5077,14
13/08/2006;SING;1361,43;1536,11
14/08/2006;SIC;3558,07;5279,82
14/08/2006;SING;1425,38;1523,82
15/08/2006;SIC;3577,14;5307,8
15/08/2006;SING;1387,35;1531,3
