fecha;hidro;termo;ernc;total,,,,
16/10/2016;36971,9;61102,62;23982,48;122057,
17/10/2016;47365,8;73785,69;26886,51;148038,
18/10/2016;59078;68423,84;24783,16;152285,,
19/10/2016;46747,6;77578,36;25620,04;149946,
20/10/2016;45461,7;77137,04;27203,26;149802,
21/10/2016;44996,7;79769,19;21826,11;146592,
22/10/2016;43909,8;69193,92;23026,28;136130,
23/10/2016;33961,2;68529,33;22161,47;124652,
24/10/2016;51965,3;69115,92;25669,78;146751,
25/10/2016;45809,1;73841,68;30398,22;150049,
26/10/2016;44400,3;77050,36;28930,34;150381,
27/10/2016;48111,2;77625,68;24630,12;150367,
28/10/2016;45897,7;79051,76;23005,54;147955,
29/10/2016;45581,4;65939,76;20599,84;132121,
30/10/2016;34211,8;66675,17;22511,03;123398,
31/10/2016;37787,9;59363,91;25963,19;123115,
01/11/2016;38618,4;63066,36;26679,24;128364,
02/11/2016;49352,2;71872,96;26686,84;147912,
03/11/2016;58619,9;69796,96;23872,14;152289,
04/11/2016;56484,1;72706,96;21196,94;150388,
05/11/2016;49852;68376,96;19775,04;138004,,
06/11/2016;39969,1;65769,96;22991,94;128731,
07/11/2016;52742,9;76053,96;21001,14;149798,
08/11/2016;58226,5;73496,96;21868,54;153592,
09/11/2016;58715,8;69812,96;26292,24;154821,
10/11/2016;59961,7;69220,96;25889,34;155072,
11/11/2016;59914,4;69996,88;22594,72;152506,
12/11/2016;47392,4;71080,88;21273,72;139747,
13/11/2016;41417;68875,56;19727,44;130020,,
14/11/2016;58651;70139,84;23218,16;152009,,
15/11/2016;57756;72283,84;23862,16;153902,,
16/11/2016;55754,4;72843,84;24995,76;153594,
17/11/2016;60255;72853,84;21694,16;154803,,
18/11/2016;57833,6;73229,84;22285,56;153349,
19/11/2016;65450;57168,84;19365,16;141984,,
20/11/2016;46183;58487,84;21881,16;126552,,
21/11/2016;71218,8;61375,84;19327,36;151922,
22/11/2016;63489,4;70599,84;18639,76;152729,
23/11/2016;62746,4;70502,88;18686,72;151936,
24/11/2016;62597;70090,88;18331,12;151019,,
25/11/2016;60239;69858,88;19411,12;149509,,
26/11/2016;53035;69496,88;20103,12;142635,,
27/11/2016;43741;58465,94;24914,06;127121,,
28/11/2016;54097,4;75307,64;22212,96;151618,
29/11/2016;57147,4;78695,68;18297,92;154141,
30/11/2016;56515,4;78657,68;17605,92;152779,
01/12/2016;55935,4;78623,68;18280,92;152840,
02/12/2016;65433,4;70131,68;17167,92;152733,
03/12/2016;56705;65287,68;19042,32;141035,,
04/12/2016;44514;60443,87;22505,13;127463,,
05/12/2016;51098,2;72969,04;25410,76;149478,
06/12/2016;53779;72625,04;26102,96;152507,,
07/12/2016;57844,2;71196,36;24015,44;153056,
08/12/2016;46123;72529,74;21562,26;140215,,
09/12/2016;52140,2;78042,36;21196,44;151379,
10/12/2016;51763;69297,68;24619,32;145680,,
11/12/2016;57989,25;48913,68;24086,07;130989,
12/12/2016;59128;64223,68;26428,32;149780,,
13/12/2016;54585;73005,19;26580,81;154171,,
14/12/2016;60712,8;74291,68;23859,52;158864,
15/12/2016;61280;74641,68;23331,32;159253,,
16/12/2016;66621;71219,68;21039,32;158880,,
17/12/2016;67544;54391,68;23991,32;145927,,
18/12/2016;48869;54580,96;26606,04;130056,,
19/12/2016;61216;72055,87;22689,13;155961,,
20/12/2016;57629,2;78090,7;24728,1;160448,
21/12/2016;55072,2;76393,87;27616,93;159083,
22/12/2016;54290,8;75163,87;28498,33;157953,
23/12/2016;53846,8;77763,87;24439,33;156050,
24/12/2016;54305,8;61883,68;22892,52;139082,
25/12/2016;49364;56000,22;21810,78;127175,,
26/12/2016;55652;73037,53;25231,47;153921,,
27/12/2016;49377;80036,7;27577,3;156991,,
28/12/2016;53482;79697,53;21701,47;154881,,
29/12/2016;56027;77470,19;21002,81;154500,,
30/12/2016;60009;73526,02;20263,98;153799,,
31/12/2016;51207;64290,21;22687,79;138185,,
01/01/2017;46333;50339,31;24951,69;121624,,
02/01/2017;48714;54951,03;26689,97;130355,,
03/01/2017;51927;67630,87;27497,13;147055,,
04/01/2017;57487;68944,7;28623,3;155055,,
05/01/2017;54373;75845,68;25339,32;155558,,
06/01/2017;55543;78345,68;21641,32;155530,,
07/01/2017;52472;72455,68;20876,32;145804,,
08/01/2017;50244;56814,02;24264,98;131323,,
09/01/2017;52786;69939,02;24974,98;147700,,
10/01/2017;53901;76919,68;25082,32;155903,,
11/01/2017;60616;71855,68;24086,32;156558,,
12/01/2017;66456;68609,68;21645,32;156711,,
13/01/2017;66592;67099,68;23566,32;157258,,
14/01/2017;58115;62329,68;23772,32;144217,,
15/01/2017;50424;62260,34;20097,66;132782,,
16/01/2017;59331;69183,68;22755,32;151270,,
17/01/2017;54480;80998,68;22384,32;157863,,
18/01/2017;51419;85333,87;22114,13;158867,,
19/01/2017;52577;87146,7;21133,3;160857,,
20/01/2017;67777;74341,68;21846,32;163965,,
21/01/2017;55931;73517,19;22955,81;152404,,
22/01/2017;51462;63401,66;22102,34;136966,,
23/01/2017;63273;72078,19;22289,81;157641,,
24/01/2017;62729;76425,68;24196,32;163351,,
25/01/2017;61758;76765,68;23964,32;162488,,
26/01/2017;61585,6;77093,19;25352,21;164031,
27/01/2017;63628,85;82271,68;22009,47;167910,
28/01/2017;54060,85;71188,85;22568,3;147818,
29/01/2017;54639,85;62406,62;18902,53;135949,
30/01/2017;54680,85;83088,26;22320,89;160090,
31/01/2017;55280,6;82063,19;24478,21;161822,
01/02/2017;56108,6;86637,19;20740,21;163486,
02/02/2017;54527,6;89493,19;19710,21;163731,
03/02/2017;54569,6;87416,36;20037,04;162023,
04/02/2017;50495,6;74342,85;22230,55;147069,
05/02/2017;45236,6;66518,18;24590,22;136345,
06/02/2017;59880,6;75841,94;22854,46;158577,
07/02/2017;53980,1;82953,68;24653,22;161587,
08/02/2017;52204,6;82686,02;26224,38;161115,
09/02/2017;50578,6;82408,02;26776,38;159763,
10/02/2017;51932,6;82026,36;24880,04;158839,
11/02/2017;46985,6;77699,68;25243,72;149929,
12/02/2017;47458,6;65848,95;21389,45;134697,
13/02/2017;55218,6;82401,68;21627,72;159248,
14/02/2017;56045,6;84127,68;20383,72;160557,
15/02/2017;54762,6;85695,68;19986,72;160445,
16/02/2017;49974,6;87366,1;22300,3;159641,
17/02/2017;49396,6;87841,87;22365,53;159604,
18/02/2017;43719,6;78600,28;23998,12;146318,
19/02/2017;42732,6;68938,63;21623,77;133295,
20/02/2017;49439,6;85415,24;22240,16;157095,
21/02/2017;52761,6;88799,07;23407,33;164968,
22/02/2017;59057,6;84603,19;23480,21;167141,
23/02/2017;54927,1;84709,58;22426,32;162063,
24/02/2017;54746,6;90584,88;20441,52;165773,
25/02/2017;45318,2;82011,68;20208,12;147538,
26/02/2017;44679,2;68992,09;18821,71;132493,
27/02/2017;56593,2;83881,68;19582,12;160057,
28/02/2017;58279,7;87715,68;20532,62;166528,
01/03/2017;47916,2;97763,68;20024,12;165704,
02/03/2017;47586,2;95292,88;23887,92;166767,
03/03/2017;49581,2;91717,48;25101,32;166400,
04/03/2017;35349,2;84009,68;26302,12;145661,
05/03/2017;33138,2;79804,36;24449,44;137392,
06/03/2017;49619,2;93338,88;21267,92;164226,
07/03/2017;42385,2;99962;22023,8;164371,,
08/03/2017;41301,2;98322;23595,8;163219,,
09/03/2017;39565,2;95462,6;25634,2;160662,
10/03/2017;36599,2;95962,78;25868,02;158430,
11/03/2017;27857,8;92735,78;28321,42;148915,
12/03/2017;23883,8;85201,21;25438,99;134524,
13/03/2017;32760,8;101359,98;23599,22;157720,
14/03/2017;32198,05;101675,38;22870,57;156744,
15/03/2017;30174,8;101219,68;24694,52;156089,
16/03/2017;36172,8;98821,68;22908,52;157903,
17/03/2017;34824,8;101304,68;21850,52;157980,
18/03/2017;32440,8;90462,08;21730,12;144633,
19/03/2017;29512,8;82439,84;22163,36;134116,
20/03/2017;37178,8;94065,33;26086,87;157331,
21/03/2017;41400,8;96974,28;21716,92;160092,
22/03/2017;37305,55;102146,16;21057,29;160509,
23/03/2017;36307,8;102924,16;20607,04;159839,
24/03/2017;36307,8;103080,16;20499,04;159887,
25/03/2017;31228,3;92261,28;21143,42;144633,
26/03/2017;28575,8;84142,18;22106,02;134824,
27/03/2017;36588,55;96130,98;22881,47;155601,
28/03/2017;38263,8;99963,08;21359,12;159586,
29/03/2017;42697,4;94489,18;22469,42;159656,
30/03/2017;42510,4;91884,68;25553,92;159949,
31/03/2017;42814,4;94080,88;23000,72;159896,
01/04/2017;38050,4;85311,68;23297,92;146660,
02/04/2017;29127,4;78336,02;27580,58;135044,
03/04/2017;36690,65;90592,98;24895,37;152179,
